cristin_result_id,tittel,ar,kategori,kanal,lenke,temaer,forfattere_utdrag,antall_forfattere,ntnu_forskere_i_utvalget,finansiering
2039587,Artificial Intelligence and Gender Equality: A Systematic Mapping Study,2022,Academic chapter/article/Conference paper,,https://hdl.handle.net/11250/3040536,"Navigasjon, SLAM og sensorfusjon; Maskinlæring og dyp læring",Jose David Patón-Romero; Ricardo Vinuesa; Maria Letizia Jaccheri; Maria Teresa Baldassarre,4,Maria Letizia Jaccheri,COST
10446536,State of Gender Equality in and by Artificial Intelligence,2022,Academic article,IADIS International Journal on Computer Science & Information Systems,https://hdl.handle.net/11250/5522332,Maskinlæring og dyp læring,Jose Patón-Romero; Ricardo Vinuesa; Letizia Jaccheri,3,Maria Letizia Jaccheri,
2118538,Operating Room of the Future (FOR) Digital Healthcare Transformation in the Age of Artificial Intelligence,2022,Academic chapter/article/Conference paper,,https://doi.org/10.1007/978-3-031-05276-7_9,Maskinlæring og dyp læring; Medisinsk AI og robotikk,Cristina Trocin; Jan Gunnar Skogås; Thomas Langø; Gabriel Hanssen Kiss,4,Gabriel Hanssen Kiss,
2015749,Teacher-student approach for lung tumor segmentation from mixed-supervised datasets,2022,Academic article,PLOS ONE,https://doi.org/10.1371/journal.pone.0266147,Medisinsk AI og robotikk,Vemund Fredriksen; Svein Ole Matheson Sevle; André Pedersen; Thomas Langø; Gabriel Kiss; Frank Lindseth,6,Gabriel Hanssen Kiss; Frank Lindseth,
2102849,From Responsible AI Governance to Competitive Performance: The Mediating Role of Knowledge Management Capabilities,2022,Academic article,Lecture Notes in Computer Science (LNCS),https://doi.org/10.1007/978-3-031-15342-6_5,Maskinlæring og dyp læring,Emmanouil Papagiannidis; Patrick Mikalef; John Krogstie; Kieran Conboy,4,John Krogstie; Patrik Mikalef,
2102847,"The Metaverse as a virtual form of data-driven smart urbanism: platformization and its underlying processes, institutional dimensions, and disruptive impacts",2022,Academic article,Computational Urban Science,https://doi.org/10.1007/s43762-022-00051-0,Maskinlæring og dyp læring,Simon Elias Bibri; Zaheer Allam; John Krogstie,3,John Krogstie,
2020329,Toward AI Governance: Identifying Best Practices and Potential Barriers and Outcomes,2022,Academic article,Information Systems Frontiers,https://doi.org/10.1007/s10796-022-10251-y,Maskinlæring og dyp læring,Emmanouil Papagiannidis; Ida Merete Enholm; Christian Dremel; Patrick Mikalef; John Krogstie,5,John Krogstie; Patrik Mikalef,
2170068,A Reparameterization of Mixtures of Truncated Basis Functions and its Applications,2022,Academic article,Proceedings of Machine Learning Research (PMLR),https://hdl.handle.net/11250/3086661,Maskinlæring og dyp læring,Antonio Salmeron; Helge Langseth; Andres Masegosa; Thomas D. Nielsen,4,Helge Langseth,
2006266,Detection of Potential Manipulations in Electricity Market using Machine Learning Approaches,2022,Academic article,Proceedings of the International Conference on Agents and Artificial Intelligence (ICAART),https://doi.org/10.5220/0010991800003116,Maskinlæring og dyp læring,Shweta Tiwari; Gavin Bell; Helge Langseth; Heri Ramampiaro,4,Helge Langseth; Herindrasana Ramampiaro; Shweta Tiwari,
2125863,Estimation of VIV-parameters based on Response Measurements and Bayesian Machine Learning Algorithms,2022,Academic chapter/article/Conference paper,,https://hdl.handle.net/11250/3058496,"Regulering, MPC og estimering; Maskinlæring og dyp læring",Martin Lieberkind Andersen; Svein Sævik; Bernt Johan Leira; Jie Wu; Helge Langseth; Elizabeth Anne Passano,8,Svein Sævik; Helge Langseth; Bernt Johan Leira,
2029626,Geolocation estimation of target vehicles using image processing and geometric computation,2022,Academic article,Neurocomputing,https://doi.org/10.1016/j.neucom.2021.10.127,"Regulering, MPC og estimering; Datasyn; Medisinsk AI og robotikk",Elnaz Namazi; Rudolf Mester; Chaoru Lu; Jingyue Li,4,Rudolf Mester; Jingyue Li,
2034946,Operationalizing Machine Learning Models - A Systematic Literature Review,2022,Academic chapter/article/Conference paper,,https://doi.org/10.1145/3526073.3527584,Maskinlæring og dyp læring,Ask Berstad Kolltveit; Jingyue Li,2,Jingyue Li,
2029630,Traffic Awareness Through Multiple Mobile Sensor Fusion,2022,Academic article,IEEE Sensors Journal,https://doi.org/10.1109/JSEN.2022.3171070,"Navigasjon, SLAM og sensorfusjon",Elnaz Namazi; Rudolf Mester; Jingyue Li; Chaoru Lu; Meng Tang; Ying Xiong,6,Rudolf Mester; Jingyue Li,
2071819,From data to interpretable models: machine learning for soil moisture forecasting,2022,Academic article,International Journal of Data Science and Analytics (JDSA),https://doi.org/10.1007/s41060-022-00347-8,Maskinlæring og dyp læring,Aniruddha Basak; Kevin M. Schmidt; Ole Jakob Mengshoel,3,Ole Jakob Mengshoel,
2083863,Identification of Failure Modes in the Collision Avoidance System of an Autonomous Ferry using Adaptive Stress Testing,2022,Academic article,IFAC-PapersOnLine,https://doi.org/10.1016/j.ifacol.2022.10.472,"Sikkerhet, verifisering og risiko",Hanna Waage Hjelmeland; Bjørn-Olav Holtung Eriksen; Ole Jakob Mengshoel; Anastasios M. Lekkas,4,Anastasios Lekkas; Ole Jakob Mengshoel,NFR
2076217,Detecting and Suppressing Marine Snow for Underwater Visual SLAM,2022,Academic article,IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),https://doi.org/10.1109/CVPRW56347.2022.00558,"Marin autonomi og fartøy; Datasyn; Navigasjon, SLAM og sensorfusjon",Lars Martin Hodne; Eirik Leikvoll; Mauhing Yip; Andreas Langeland Teigen; Annette Stahl; Rudolf Mester,6,Rudolf Mester; Annette Stahl; Mau Hing Yip,NFR; NFR
